OriginLat,OriginLon,AccessLat,AccessLon,People
39.3829238878821,-105.042008820747,39.38234,-105.0416,5
39.3828162652484,-105.041227591596,39.38234,-105.0416,4
39.38269508871,-105.039476800311,39.38288,-105.0399,2
39.3830789850837,-105.039359923327,39.38288,-105.0399,2
39.3832216030271,-105.039923572832,39.38321,-105.0395,4
39.3832693581936,-105.038935060427,39.38337,-105.0388,2
39.3837595047045,-105.038421852195,39.38337,-105.0388,2
39.3834841562263,-105.037888326907,39.38338,-105.0379,3
39.3836026289486,-105.038211495781,39.38338,-105.0379,1
39.3836807185913,-105.037904660948,39.38338,-105.0379,1
39.3837401734682,-105.026797458425,39.3838,-105.0268,5
39.3838102605064,-105.026414631506,39.3838,-105.0268,2
39.3836576802638,-105.026281635965,39.3838,-105.0268,5
39.3833468223944,-105.026430597321,39.3838,-105.0268,4
39.3845321824925,-105.036515565502,39.38396,-105.0366,2
39.384187709634,-105.036690125788,39.38396,-105.0366,1
39.3841729171734,-105.026708366724,39.38407,-105.0264,3
39.3842489874355,-105.026494984718,39.38407,-105.0264,2
39.3843860408391,-105.026944362771,39.38407,-105.0264,1
39.3844671621773,-105.026760331031,39.38407,-105.0264,4
39.3840806022039,-105.026787162544,39.38407,-105.0264,5
39.3844334235018,-105.026573812449,39.38407,-105.0264,1
39.3842890680494,-105.025507629308,39.38417,-105.0256,5
39.3843560401769,-105.025790639949,39.38417,-105.0256,4
39.3840199398171,-105.025931603496,39.38417,-105.0256,1
39.384462946443,-105.025365343696,39.38417,-105.0256,2
39.3845565899359,-105.025531751248,39.38417,-105.0256,3
39.3840822021603,-105.025185539235,39.38417,-105.0256,3
39.3840801124513,-105.024460238428,39.38423,-105.0247,3
39.3846170294071,-105.024841147985,39.38423,-105.0247,1
39.3840908100039,-105.024268969951,39.38423,-105.0247,3
39.3841627384374,-105.024699860469,39.38423,-105.0247,1
39.383987942514,-105.024276667816,39.38423,-105.0247,3
39.3841517563778,-105.024934218357,39.38423,-105.0247,5
39.3843460258974,-105.024463525396,39.38423,-105.0247,1
39.3842467183444,-105.02508440738,39.38423,-105.0247,1
39.3844985285948,-105.023772592748,39.38438,-105.0238,3
39.3843984648972,-105.024133682541,39.38438,-105.0238,4
39.3841399029338,-105.023865473729,39.38438,-105.0238,1
39.3840337287918,-105.023451463402,39.38438,-105.0238,3
39.3840459058427,-105.024028276786,39.38438,-105.0238,4
39.3845314039493,-105.023865810863,39.38438,-105.0238,2
39.384052745997,-105.023796609841,39.38438,-105.0238,1
39.3850611902149,-105.023450703689,39.38486,-105.0234,2
39.3851657373349,-105.02361807759,39.38486,-105.0234,4
39.3846849755704,-105.023754534067,39.38486,-105.0234,5
39.3853954623994,-105.024134050075,39.38486,-105.0234,4
39.3852748155905,-105.02365493297,39.38486,-105.0234,3
39.3853030437321,-105.023102272416,39.3852,-105.0231,4
39.3847606945716,-105.02270594794,39.3852,-105.0231,4
39.3847676981945,-105.023225436996,39.3852,-105.0231,3
39.38470525396,-105.022368295016,39.3852,-105.0231,2
