OriginLat,OriginLon,AccessLat,AccessLon,People
39.412565170558,-105.024889815222,39.4131,-105.0242,3
39.4131702260644,-105.023472860618,39.41275,-105.0239,5
39.412772007004,-105.023445419941,39.41275,-105.0239,1
39.4125740125089,-105.023363489904,39.41275,-105.0239,2
39.4126457785554,-105.023998348368,39.41275,-105.0239,1
39.4129787537088,-105.011295968624,39.41267,-105.0108,2
39.4126218102473,-105.011027136874,39.41267,-105.0108,5
39.4126487648207,-105.01123544126,39.41267,-105.0108,3
39.4124540348134,-105.011795473756,39.41267,-105.0108,1
39.4128737428437,-105.01157253256,39.41267,-105.0108,1
39.4129001510548,-105.01011265061,39.41291,-105.0106,2
39.4130712511476,-105.010285061844,39.41291,-105.0106,2
39.4130782735126,-105.010467739551,39.41291,-105.0106,4
39.412620645956,-105.010102924558,39.41291,-105.0106,2
39.4129534845541,-105.010421592859,39.41291,-105.0106,1
39.4125227557107,-105.009032772713,39.41325,-105.0098,3
39.4125541576314,-105.009183358559,39.41325,-105.0098,3
39.4127243627517,-105.009873703605,39.41325,-105.0098,1
39.413847037448,-105.039894449502,39.41391,-105.0396,3
39.4138239243935,-105.039902218363,39.41391,-105.0396,2
39.4132837307266,-105.023707483863,39.41351,-105.0237,2
39.4137926829259,-105.024010496807,39.41351,-105.0237,1
39.4134959808226,-105.023585660924,39.41351,-105.0237,3
39.4133791338436,-105.023513424046,39.41351,-105.0237,2
39.4135311929233,-105.022498115899,39.41363,-105.0229,4
39.4135745139303,-105.022855984917,39.41363,-105.0229,3
39.4136899859384,-105.02296205744,39.41363,-105.0229,2
39.4137644953964,-105.010625394099,39.41311,-105.0102,4
39.4135459659056,-105.010101058598,39.41311,-105.0102,1
39.4134182700502,-105.010245728303,39.41311,-105.0102,1
39.4132779935796,-105.009995318485,39.41311,-105.0102,4
39.4134975979353,-105.010217698396,39.41311,-105.0102,1
39.4132152897043,-105.010115563263,39.41311,-105.0102,1
39.4137968751083,-105.009270152364,39.41344,-105.0094,3
39.413502503004,-105.009449586146,39.41344,-105.0094,1
39.4142658284202,-105.040726904354,39.41417,-105.0407,3
39.41406417761,-105.039458648082,39.41397,-105.0399,3
39.4144191389526,-105.023017346747,39.41419,-105.0225,5
39.41407108944,-105.023096926183,39.41419,-105.0225,2
39.4141517485923,-105.022590164982,39.41419,-105.0225,1
39.4146024357579,-105.021339594933,39.41455,-105.022,5
39.4142401958004,-105.021555872041,39.41455,-105.022,5
39.4141244116812,-105.022220109248,39.41455,-105.022,1
39.4141292540791,-105.021635190421,39.41455,-105.022,4
